rollout/episode_reward_height_coverage,rollout/episode_length,time/time_elapsed,rollout/episode_reward_sum,time/fps,time/iterations,time/rollout,rollout/episode_reward_short_path,time/total_timesteps,train/clip_range_vf,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/approx_kl,time/training,train/loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss
0.9098,18.488,551,18.1354,409,55,10.013840675354004,-0.6087,225280,0.2,0.0001,0.3404255319148936,0.2,270,0.058315482,0.478466272354126,9.042062759399414,-16.229167978814306,-0.01014385408067957,0.25223207473754883,15.26715136588888
0.9101,17.9557,561,18.1914,412,56,9.927956819534302,-0.1026,229376,0.2,0.0001,0.32081117021276595,0.2,275,0.051093284,0.4987771511077881,12.096770286560059,-16.048240479002608,-0.011259141457366182,0.24201339483261108,13.294582265488645
0.9107,18.1116,572,18.194,419,57,9.759111166000366,-0.2052,233472,0.2,0.0001,0.37388392857142855,0.2,280,0.05767632,0.6369571685791016,11.874434471130371,-16.123409634544736,-0.020064658736662258,0.24953168630599976,15.786731704833015
0.9105,19.0979,582,18.1514,418,58,9.788362741470337,-0.5807,237568,0.2,0.0001,0.3329861111111111,0.2,285,0.056150854,0.4544260501861572,13.741776466369629,-15.87226848602295,-0.014514356892969872,0.20868277549743652,13.953530873192681
0.9106,18.5584,592,18.1799,425,59,9.636603116989136,-0.3215,241664,0.2,0.0001,0.3139391447368421,0.2,290,0.060245793,0.3876338005065918,10.123082160949707,-15.898156467236971,0.00031509345985556906,0.26010024547576904,14.506464995835957
0.9115,19.0284,602,18.1706,421,60,9.716468334197998,-0.5836,245760,0.2,0.0001,0.3203125,0.2,295,0.06349125,0.45798683166503906,10.06419563293457,-15.909163735129617,-0.012605958978052844,0.25317513942718506,14.01975868506865
0.9097,18.9401,613,18.1324,421,61,9.70695424079895,-0.6247,249856,0.2,0.0001,0.3847313596491228,0.2,300,0.055373088,0.5859200954437256,7.876509189605713,-15.705009075633267,-0.015777167226923138,0.2430245280265808,14.75640619010256
0.9091,19.1205,623,18.0985,412,62,9.918747186660767,-0.8282,253952,0.2,0.0001,0.40234375,0.2,305,0.059526835,0.9599189758300781,9.068365097045898,-16.15953148735894,-0.041268827186690435,0.22910380363464355,13.479097668329874
0.9095,19.4631,634,18.1255,425,63,9.618438482284546,-0.6485,258048,0.2,0.0001,0.3589221014492754,0.2,310,0.06523806,0.713625431060791,13.871476173400879,-16.174441420513652,-0.028123570471138195,0.2677532434463501,14.380746675574262
0.9103,19.5925,644,18.1396,415,64,9.860152006149292,-0.6672,262144,0.2,0.0001,0.3752232142857143,0.2,315,0.07009959,0.7087364196777344,9.058025360107422,-16.164282512664794,-0.029043662122317723,0.25578808784484863,13.185254035677229
